,DT predictions,RF predictions,GB predictions,ET predictions,Ensemble of the four ,Real values
10869,5.86,5.368700000000002,5.562393957775662,4.616400000000004,5.351873489443918,5.4
10329,4.82,5.5322000000000005,5.701307387857318,5.573499999999998,5.406751846964329,4.94
10468,5.86,5.861000000000008,5.826246804706799,5.861400000000008,5.852161701176703,5.86
8683,6.19,6.189800000000008,6.1171416177902715,6.189700000000007,6.171660404447572,6.19
4972,6.8000000000000025,6.799999999999995,6.782818416326339,6.800499999999995,6.795829604081583,6.8
14194,6.5,5.528300000000002,5.521344322915094,5.856800000000001,5.851611080728774,5.2
8023,6.02,6.020899999999992,5.9454494100525395,6.031999999999993,6.0045873525131315,6.02
13616,6.26,6.259999999999994,6.239163934382587,6.260199999999994,6.254840983595643,6.26
6206,4.4,5.257800000000002,5.5424992084192555,5.534999999999999,5.183824802104814,5.13
4731,6.06,5.941500000000001,5.699056992486426,6.0020999999999995,5.925664248121606,6.4
5768,0.0,0.0,0.0,0.0,0.0,0.0
9810,6.4,6.406799999999997,6.352893675684876,6.408199999999999,6.391973418921218,6.41
2957,6.990000000000001,6.990000000000006,7.053066156526053,6.990300000000007,7.0058415391315165,6.99
6424,7.38,7.381299999999995,7.366151655496784,7.381999999999994,7.377362913874193,7.38
12454,6.97,6.970000000000017,6.91262011009003,6.970400000000017,6.955755027522515,6.97
8198,4.0,5.5295,5.347570512630294,5.329000000000002,5.051517628157574,7.67
11527,7.050000000000001,7.049999999999994,7.0088831801345695,7.048899999999993,7.039445795033639,7.05
3698,6.9399999999999995,6.935900000000006,6.905434679787117,6.9359,6.9293086699467805,6.94
8084,4.93,5.650500000000003,5.671908539596949,5.5776,5.457502134899237,5.89
7286,6.78,6.779999999999983,6.8114037951311275,6.780399999999983,6.787950948782774,6.78
8493,7.110000000000005,7.11000000000001,7.148831614052956,7.109200000000011,7.119507903513246,7.11
6778,7.66,7.659999999999997,7.6334800792952855,7.658199999999998,7.65292001982382,7.66
10539,5.95,5.464300000000001,5.548676373790387,5.554599999999999,5.629394093447596,5.83
8300,7.38,7.380699999999996,7.338359485893667,7.3802999999999965,7.369839871473415,7.38
8710,5.75,6.245500000000001,6.152884688099684,6.542000000000002,6.172596172024921,6.98
6329,6.28,6.279999999999984,6.2463228435390565,6.278599999999986,6.271230710884757,6.28
8287,4.98,4.883000000000003,4.533631479988335,4.848700000000003,4.811332869997085,4.93
518,5.430000000000001,5.429500000000003,5.343851038569935,5.4282,5.407887759642485,5.43
8129,6.25,6.2498000000000005,6.283900572109086,6.2473,6.2577501430272715,6.25
11669,0.0,0.0,0.08808781062514442,0.07,0.03952195265628611,0.0
8274,6.0,5.8016000000000005,5.645712696410823,5.7852999999999986,5.8081531741027055,4.71
6497,4.85,4.559700000000002,4.835149701886006,4.656599999999997,4.725362425471501,4.3
8293,0.0,0.0,0.28438592550649683,0.0,0.07109648137662421,0.0
11292,6.9799999999999995,6.98120000000001,7.044264476405657,6.983900000000009,6.997341119101419,6.98
3813,6.28,6.279799999999984,6.279168941590301,6.277599999999986,6.279142235397568,6.28
3784,6.52,6.528399999999992,6.544502047812245,6.553499999999996,6.536600511953059,6.54
8816,8.07,8.070100000000014,8.024640041104762,8.073500000000013,8.059560010276197,8.07
12590,6.31,6.3187999999999995,6.3072753352441016,6.319600000000005,6.313918833811026,6.32
9541,5.420000000000001,5.397900000000002,5.5122518685686,5.4464,5.444137967142151,5.42
7981,6.41,6.347899999999998,6.3138365373544305,6.310399999999996,6.345534134338607,6.51
6956,5.72,6.007499999999998,5.844353399786147,5.944300000000001,5.879038349946536,5.33
7399,5.52,5.359799999999998,5.304144448435316,5.394500000000001,5.394611112108828,5.51
3307,5.35,5.6891,5.41674071876694,5.138999999999999,5.398710179691735,4.56
169,7.78,7.779299999999982,7.774050863252137,7.780099999999985,7.778362715813026,7.78
2483,6.35,6.741800000000003,6.657412604693966,7.273499999999992,6.75567815117349,7.44
11771,5.06,5.153999999999999,5.69808623519133,5.304499999999998,5.304146558797831,4.82
2805,6.64,6.63979999999999,6.66190750102313,6.637299999999991,6.644751875255778,6.64
1236,6.710000000000001,6.710000000000003,6.758009816196463,6.710100000000002,6.722027454049117,6.71
13373,6.010000000000001,6.011099999999994,6.0237889626402055,6.012299999999993,6.014297240660048,6.01
13015,6.92,6.919899999999993,6.929514015603118,6.918699999999994,6.922028503900776,6.92
6759,7.0,7.0,7.035356241568076,6.998100000000002,7.008364060392019,7.0
3834,8.45,8.449300000000013,8.378889990011123,8.453500000000016,8.432922497502787,8.45
4520,5.44,5.4409,5.3614937107,5.4283,5.417673427675,5.44
12686,5.63,5.622499999999999,5.618168795882596,5.613299999999998,5.620992198970648,5.63
9129,6.69,6.690000000000011,6.752773903898501,6.6893000000000065,6.70551847597463,6.68
9258,6.28,6.280499999999986,6.20694300576065,6.281099999999989,6.262135751440156,6.28
3844,6.53,6.465300000000002,6.464208238430661,6.534700000000003,6.4985520596076665,6.4
12118,6.96,6.959800000000002,6.886919435820645,6.9593000000000025,6.941504858955162,6.96
6266,0.0,0.0,0.1227831054989412,0.0,0.0306957763747353,0.0
1010,7.96,7.9602000000000075,7.904984806270316,7.961400000000009,7.946646201567583,7.96
7794,5.63,5.830500000000001,5.520428717577176,5.540200000000001,5.630282179394294,5.22
